Manufacturer,CO_Emissions,Fuel_Cost_9600_km
Volkswagen,503,626
Honda,710,624
Mercedes-Benz,420,529
Audi,660,822
Renault,600,549
Isuzu,200,811
Ford,174,717
LTI,580,611
Audi,229,725
Volkswagen,436,409
Volvo,200,661
Mitsubishi,233,571
Mitsubishi,631,675
Hyundai,500,634
Volkswagen,300,522
Peugeot,344,392
Volvo,100,758
Volkswagen,300,680
Lotus,590,537
Ford,491,645
Peugeot,547,459
Ford,284,563
Vauxhall,700,521
Vauxhall,284,625
Volkswagen,115,433
Renault,492,661
Peugeot,321,527
Honda,1200,599
Mazda,206,594
Chrysler Jeep,159,580
Volkswagen,600,689
Ford,710,655
Volkswagen,100,398
Audi,300,675
Honda,1262,584
Vauxhall,239,557
Audi,500,758
Fiat,1036,747
Vauxhall,300,417
Mercedes-Benz,200,798
Mitsubishi,504,661
Mercedes-Benz,300,701
Subaru,800,689
Ford,538,520
Mercedes-Benz,300,736
Peugeot,1058,486
BMW,300,744
Skoda,100,377
Volvo,400,634
Fiat,396,666
Proton,650,691
Vauxhall,657,571
Volvo,500,709
Mazda,309,427
Mercedes-Benz,100,616
Volvo,1400,634
Skoda,600,493
Mercedes-Benz,100,514
Daewoo Cars,400,445
Volkswagen,160,520
Ford,427,550
Mitsubishi,200,689
Volkswagen,165,409
Mazda,644,616
Subaru,540,775
Skoda,55,377
Saab,300,478
Subaru,500,744
Hyundai,134,482
Ford,400,459
Mercedes-Benz,300,586
Mercedes-Benz,700,501
Smart,700,368
BMW,100,571
Peugeot,100,486
Volvo,100,750
Hyundai,1250,610
Lamborghini,876,1624
Vauxhall,500,571
Volvo,200,689
Mercedes-Benz,100,822
Mercedes-Benz,319,987
Citroen,117,304
Jaguar Cars,326,905
Mitsubishi,200,571
Volvo,633,828
Audi,918,992
Fiat,1036,739
Volvo,1400,634
Lotus,720,530
Ford,500,451
Ford,474,565
Saab,540,693
Toyota,1020,982
BMW,800,652
MG Rover Group,500,590
Mercedes-Benz,378,668
Renault,1000,556
Ford,148,634
Nissan,212,464
Citroen,467,609
Daewoo Cars,700,459
Mitsubishi,413,459
Vauxhall,800,805
Vauxhall,300,829
Mazda,600,473
Audi,918,1033
Audi,919,514
Renault,292,457
Chrysler Jeep,1770,1091
Audi,900,854
MG Rover Group,328,744
Honda,772,633
Nissan,500,637
Ford,100,391
Vauxhall,400,486
Micro Compact Car,800,348
Volkswagen,200,506
Skoda,600,493
Vauxhall,904,584
Citroen,300,431
Mitsubishi,200,668
MG Rover Group,1000,666
Mercedes-Benz,381,467
Mazda,550,593
Honda,400,556
Daihatsu,300,417
Citroen,600,535
Renault,700,549
Citroen,300,412
Mercedes-Benz,400,885
Peugeot,224,377
Vauxhall,360,535
Audi,525,851
Fiat,500,451
Vauxhall,700,701
Lotus,1984,1091
Volvo,703,666
Volkswagen,400,651
Mercedes-Benz,400,464
Audi,200,521
Mercedes-Benz,300,689
BMW,811,563
Vauxhall,500,326
Volkswagen,300,493
Mazda,400,543
Daewoo Cars,320,586
Peugeot,529,696
Peugeot,200,445
Mazda,476,563
Audi,400,682
MG Rover Group,500,565
Metrocab,86,705
Saab,460,738
Mercedes-Benz,200,758
MG Rover Group,400,476
Nissan,937,703
Vauxhall,300,536
Skoda,200,355
Ford,200,536
Nissan,300,427
BMW,800,563
Audi,700,563
Toyota,700,438
Mercedes-Benz,300,689
Audi,540,618
Mitsubishi,253,398
Ford,171,731
Alfa Romeo,848,609
Rover Group Limited,379,841
Skoda,350,578
Mitsubishi,527,994
MG Rover Group,371,481
Alfa Romeo,500,604
Volkswagen,400,773
BMW,500,668
Peugeot,331,339
Volkswagen,489,838
Fiat,300,382
Vauxhall,400,480
Fiat,100,412
Vauxhall,500,528
Audi,540,586
Porsche,600,786
Suzuki,732,595
Volkswagen,400,668
Jaguar Cars,310,871
Vauxhall,86,534
Volkswagen,200,391
Citroen,500,584
Nissan,677,758
Mercedes-Benz,200,500
Micro Compact Car,474,362
Mazda,600,592
Vauxhall,486,634
BMW,1200,514
Kia,400,599
Toyota,800,403
Skoda,324,370
Ford,332,573
Volkswagen,751,602
Kia,420,640
Volvo,761,680
Suzuki,400,640
BMW,400,792
Mercedes-Benz,400,829
Vauxhall,600,543
Skoda,245,563
Ford,300,406
Ford,100,319
Vauxhall,300,550
Hyundai,950,550
BMW,300,485
Renault,300,571
Citroen,1117,580
Renault,500,543
Mercedes-Benz,300,500
Nissan,480,678
Honda,740,898
Seat,200,319
Ford,200,326
Mercedes-Benz,626,522
Daewoo Cars,1030,501
Volkswagen,200,557
Volvo,900,535
Aston Martin Lagonda,890,1383
Mercedes-Benz,500,556
Seat,299,485
Ford,235,618
Peugeot,608,678
Mercedes-Benz,300,736
Audi,1000,668
Renault,200,412
Mercedes-Benz,154,832
MG Rover Group,473,500
Fiat,246,495
Peugeot,132,710
Mercedes-Benz,350,442
Porsche,600,897
Toyota,230,304
Peugeot,572,414
Mercedes-Benz,600,612
Mercedes-Benz,518,710
Daihatsu,503,412
Volkswagen,712,693
Ford,200,459
Volvo,500,620
BMW,693,594
Skoda,795,586
Alfa Romeo,500,624
