Fuel_Cost_6000_Miles,CO_Emissions,,,,
304,117,,,,
304,230,,,r,0.213682861
319,100,,,r^2,0.045660365
319,200,,,slope,0.39582274
319,100,,,,
326,500,,,,
326,200,,,,
327,800,,,,
333,500,,,,
339,331,,,,
348,800,,,,
348,800,,,,
354,534,,,,
355,200,,,,
355,200,,,,
357,400,,,,
361,672,,,,
362,474,,,,
362,474,,,,
368,700,,,,
369,100,,,,
370,324,,,,
376,413,,,,
376,300,,,,
377,100,,,,
377,55,,,,
377,224,,,,
377,895,,,,
377,100,,,,
377,100,,,,
382,300,,,,
384,436,,,,
384,400,,,,
388,220,,,,
390,300,,,,
391,100,,,,
391,200,,,,
391,413,,,,
391,100,,,,
391,200,,,,
391,453,,,,
392,344,,,,
394,122,,,,
394,122,,,,
396,568,,,,
398,100,,,,
398,253,,,,
398,100,,,,
398,200,,,,
398,101,,,,
398,300,,,,
399,165,,,,
399,316,,,,
402,823,,,,
403,800,,,,
406,300,,,,
406,200,,,,
406,910,,,,
406,100,,,,
409,436,,,,
409,165,,,,
410,1200,,,,
412,300,,,,
412,100,,,,
412,200,,,,
412,503,,,,
414,572,,,,
414,231,,,,
414,179,,,,
417,300,,,,
417,300,,,,
417,400,,,,
417,680,,,,
417,100,,,,
417,600,,,,
420,100,,,,
424,700,,,,
424,517,,,,
427,309,,,,
427,300,,,,
427,100,,,,
427,400,,,,
427,309,,,,
429,100,,,,
431,300,,,,
431,400,,,,
431,300,,,,
433,115,,,,
438,700,,,,
438,400,,,,
438,200,,,,
440,115,,,,
440,753,,,,
442,350,,,,
445,400,,,,
445,200,,,,
445,600,,,,
449,335,,,,
449,814,,,,
451,500,,,,
451,500,,,,
451,170,,,,
451,400,,,,
457,292,,,,
457,200,,,,
459,547,,,,
459,400,,,,
459,700,,,,
459,413,,,,
459,200,,,,
459,100,,,,
459,400,,,,
463,300,,,,
463,400,,,,
464,212,,,,
464,400,,,,
464,311,,,,
464,275,,,,
464,300,,,,
465,500,,,,
465,600,,,,
467,381,,,,
467,446,,,,
470,400,,,,
470,100,,,,
473,600,,,,
473,395,,,,
473,283,,,,
473,400,,,,
473,800,,,,
473,700,,,,
476,400,,,,
476,400,,,,
476,800,,,,
476,400,,,,
478,300,,,,
478,161,,,,
478,544,,,,
480,400,,,,
480,503,,,,
480,200,,,,
481,371,,,,
482,134,,,,
482,114,,,,
485,300,,,,
485,299,,,,
485,600,,,,
486,1058,,,,
486,100,,,,
486,400,,,,
486,1057,,,,
486,900,,,,
487,248,,,,
489,272,,,,
493,600,,,,
493,600,,,,
493,300,,,,
